"iyear","district","attackty_1","n_inc","sum_kill","sum_wound"
2000,"Abbottabad","Bombing/Explosion",0,0,0
2001,"Abbottabad","Bombing/Explosion",0,0,0
2002,"Abbottabad","Bombing/Explosion",0,0,0
2003,"Abbottabad","Bombing/Explosion",0,0,0
2004,"Abbottabad","Bombing/Explosion",0,0,0
2005,"Abbottabad","Bombing/Explosion",0,0,0
2006,"Abbottabad","Bombing/Explosion",0,0,0
2007,"Abbottabad","Bombing/Explosion",0,0,0
2008,"Abbottabad","Bombing/Explosion",0,0,0
2009,"Abbottabad","Bombing/Explosion",0,0,0
2010,"Abbottabad","Bombing/Explosion",0,0,0
2011,"Abbottabad","Bombing/Explosion",0,0,0
2012,"Abbottabad","Bombing/Explosion",1,0,0
2013,"Abbottabad","Bombing/Explosion",0,0,0
2014,"Abbottabad","Bombing/Explosion",1,0,0
2015,"Abbottabad","Bombing/Explosion",0,0,0
2016,"Abbottabad","Bombing/Explosion",0,0,0
2000,"Astor","Bombing/Explosion",0,0,0
2001,"Astor","Bombing/Explosion",0,0,0
2002,"Astor","Bombing/Explosion",0,0,0
2003,"Astor","Bombing/Explosion",0,0,0
2004,"Astor","Bombing/Explosion",0,0,0
2005,"Astor","Bombing/Explosion",0,0,0
2006,"Astor","Bombing/Explosion",0,0,0
2007,"Astor","Bombing/Explosion",0,0,0
2008,"Astor","Bombing/Explosion",0,0,0
2009,"Astor","Bombing/Explosion",0,0,0
2010,"Astor","Bombing/Explosion",0,0,0
2011,"Astor","Bombing/Explosion",0,0,0
2012,"Astor","Bombing/Explosion",0,0,0
2013,"Astor","Bombing/Explosion",0,0,0
2014,"Astor","Bombing/Explosion",0,0,0
2015,"Astor","Bombing/Explosion",0,0,0
2016,"Astor","Bombing/Explosion",0,0,0
2000,"Attock","Bombing/Explosion",0,0,0
2001,"Attock","Bombing/Explosion",0,0,0
2002,"Attock","Bombing/Explosion",0,0,0
2003,"Attock","Bombing/Explosion",0,0,0
2004,"Attock","Bombing/Explosion",1,9,50
2005,"Attock","Bombing/Explosion",0,0,0
2006,"Attock","Bombing/Explosion",0,0,0
2007,"Attock","Bombing/Explosion",2,2,14
2008,"Attock","Bombing/Explosion",1,0,4
2009,"Attock","Bombing/Explosion",0,0,0
2010,"Attock","Bombing/Explosion",2,1,6
2011,"Attock","Bombing/Explosion",0,0,0
2012,"Attock","Bombing/Explosion",4,11,0
2013,"Attock","Bombing/Explosion",1,2,0
2014,"Attock","Bombing/Explosion",1,8,4
2015,"Attock","Bombing/Explosion",0,0,0
2016,"Attock","Bombing/Explosion",0,0,0
2000,"Awaran","Bombing/Explosion",0,0,0
2001,"Awaran","Bombing/Explosion",0,0,0
2002,"Awaran","Bombing/Explosion",0,0,0
2003,"Awaran","Bombing/Explosion",0,0,0
2004,"Awaran","Bombing/Explosion",0,0,0
2005,"Awaran","Bombing/Explosion",0,0,0
2006,"Awaran","Bombing/Explosion",0,0,0
2007,"Awaran","Bombing/Explosion",0,0,0
