iyear,imonth,iday,provstate,city,latitude,longitude,location,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,target1,gname,nkill,nwound,scite1
2014,12,16,Khyber Pakhtunkhwa,Peshawar,34.013923,71.536462,The incident occurred at the Army Public School,5,Hostage Taking (Barricade Incident),3,Bombing/Explosion,Army Public School,Tehrik-i-Taliban Pakistan (TTP),158,121,"""Pakistan school attack: Suspects arrested in Afghanistan,"" BBC, January 14, 2015."
2007,10,18,Sindh,Karachi,24.889054,67.100078,Karsaz neighborhood.,3,Bombing/Explosion,,,Benazir Bhutto,Harkatul Jihad-e-Islami,141,250,"Paisley Dodds, �108 die in blasts near Bhutto in Karachi,� Associated Press Online, October 18, 2007."
2009,10,28,North-West Frontier Province,Peshawar,34.009667,71.579994,,3,Bombing/Explosion,,,The Mina Bazaar market,Tehrik-i-Taliban Pakistan (TTP),120,200,"Press TV, ""Peshawar Blast Death Toll Reaches 105,"" http://www.presstv.ir/detail.aspx?id=109858&sectionid=351020401 (October 29, 2009)."
2010,7,9,Federally Administered Tribal Areas,Mohmand district,34.565494,71.477429,"At a political office in Yakaghund village, in the Mohmand region of Federally Administered Tribal Areas, Pakistan.",3,Bombing/Explosion,,,Political offices,Tehrik-i-Taliban Pakistan (TTP),106,115,"South Asia Terrorism Portal, �Twenty-Five Taliban and Three Soldiers Killed in FATA,� http://www.satp.org/satporgtp/detailed_news3.asp?date3=2010%2F7%2F11 (July 11, 2010)."
2010,1,1,North-West Frontier Province,Shah Hassan Khel,32.431245,70.965876,"Lakki Marwat, Bannu.",3,Bombing/Explosion,,,Civilians watching a volleyball match,Tehrik-i-Taliban Pakistan (TTP),100,87,"Press TV, �Death Toll Hits 99 at Volleyball Bombing,� http://www.presstv.ir/detail.aspx?id=115246&sectionid=351020401 (January 3, 2010)."
2010,11,5,Federally Administered Tribal Areas,Darra Adam Khel,33.694214,71.496152,,3,Bombing/Explosion,,,A mosque was targeted in the attack.,Tehrik-i-Taliban Pakistan (TTP),96,27,"Wang Guanqun, �Death Toll in Mosque Attack Reaches 95 in Pakistan,� Xinhua News Agency, November 6, 2010, http://news.xinhuanet.com/english2010/world/2010-11/06/c_13593991.htm."
2013,2,16,Balochistan,Quetta,30.181994,66.957103,Occurred in Hazara Town,3,Bombing/Explosion,,,Hazara Civilians,Lashkar-e-Jhangvi,91,169,"""Death toll in Quetta attack rises to 91,"" Press Trust of India, February 21, 2013."
2013,9,22,Khyber Pakhtunkhwa,Peshawar,34.00372,71.544288,,3,Bombing/Explosion,,,Church,Jundallah (Pakistan),87,131,"""Pakistan church blast 'kills 25',"" BBC, September 22, 2013."
2011,5,13,Khyber Pakhtunkhwa,Shabqadar,34.217542,71.561375,"At a training center for the Frontier Constabulary (FC) in Shabqadar, Charsadda.",3,Bombing/Explosion,,,Training Center,Tehrik-i-Taliban Pakistan (TTP),82,140,"Agence France Presse, ""Taliban Claims Attack on Pakistan Paramilitary Center Revenge for Bin Laden,� World News Connection, Agence France Presse, May 13, 2011."
2016,3,27,Punjab,Lahore,31.51625,74.29032,The incident occurred at Gulshan-i-Iqbal park.,3,Bombing/Explosion,,,Park,Tehrik-i-Taliban Pakistan (TTP),79,351,"""Pakistan bombing: Suspects, arms seized after attack on Christians kills 74,"" CNN, March 28, 2016."
